month,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,"""BORO"""
1,35,21,22,21,28,18,31,22,22,22,15,19,26,16,"""BRONX"""
1,42,46,40,36,35,35,34,37,38,37,21,21,13,19,"""BROOKLYN"""
1,13,8,13,11,12,17,9,14,6,9,9,9,7,7,"""MANHATTAN"""
1,17,13,19,9,8,11,16,16,8,18,11,5,12,8,"""QUEENS"""
1,5,2,5,2,3,2,1,4,3,4,3,4,1,2,"""STATEN ISLAND"""
2,15,15,17,25,23,19,19,14,13,14,11,14,12,10,"""BRONX"""
2,31,35,27,26,27,34,34,26,19,23,30,14,13,13,"""BROOKLYN"""
2,14,5,8,7,11,10,8,3,5,9,8,3,4,9,"""MANHATTAN"""
2,19,5,11,14,21,13,20,7,7,8,9,6,6,10,"""QUEENS"""
2,2,2,1,3,1,1,2,NA,1,5,3,3,1,NA,"""STATEN ISLAND"""
3,23,17,27,21,31,20,29,17,22,19,18,12,12,12,"""BRONX"""
3,35,34,43,47,39,36,44,31,40,21,21,20,22,26,"""BROOKLYN"""
3,10,12,5,6,15,3,14,6,5,11,10,7,2,7,"""MANHATTAN"""
3,8,9,24,10,17,16,15,12,13,15,15,7,9,10,"""QUEENS"""
3,3,NA,1,2,4,2,2,1,2,3,3,2,1,1,"""STATEN ISLAND"""
4,31,21,35,36,25,32,31,22,30,27,23,23,11,15,"""BRONX"""
4,41,41,48,47,57,62,39,40,33,39,19,21,26,19,"""BROOKLYN"""
4,16,15,15,12,21,7,6,5,10,8,12,9,7,11,"""MANHATTAN"""
4,21,20,18,19,15,6,21,8,10,11,12,8,4,15,"""QUEENS"""
4,4,2,5,1,2,2,1,4,4,2,1,7,1,2,"""STATEN ISLAND"""
5,36,41,36,34,32,35,32,23,31,37,23,21,22,17,"""BRONX"""
5,60,78,63,61,49,65,57,30,54,60,32,25,33,24,"""BROOKLYN"""
5,20,21,20,9,20,9,19,7,8,16,10,7,10,14,"""MANHATTAN"""
5,16,19,27,20,18,19,24,13,17,13,17,11,10,5,"""QUEENS"""
5,2,3,5,5,2,3,8,5,2,6,4,3,2,1,"""STATEN ISLAND"""
6,31,42,48,49,44,46,45,33,41,34,27,20,17,26,"""BRONX"""
6,72,66,50,60,74,37,61,53,50,38,44,35,29,40,"""BROOKLYN"""
6,22,21,25,11,17,18,15,7,15,16,10,10,9,11,"""MANHATTAN"""
6,20,27,26,26,20,23,24,21,12,16,11,11,13,9,"""QUEENS"""
6,1,2,2,3,3,2,2,5,3,4,2,3,2,3,"""STATEN ISLAND"""
7,36,41,42,46,45,49,70,32,37,38,20,33,17,29,"""BRONX"""
7,75,79,84,85,82,74,59,40,56,56,46,25,43,29,"""BROOKLYN"""
7,23,19,18,17,20,18,24,17,10,13,9,9,11,15,"""MANHATTAN"""
7,30,20,22,16,18,31,26,18,26,7,18,10,17,14,"""QUEENS"""
7,5,5,5,9,3,2,9,5,5,3,4,2,1,1,"""STATEN ISLAND"""
8,41,48,56,52,47,52,34,36,42,26,39,26,24,24,"""BRONX"""
8,78,62,65,74,72,78,63,59,54,60,68,31,28,32,"""BROOKLYN"""
8,23,24,20,22,23,26,15,13,16,5,18,8,9,12,"""MANHATTAN"""
8,29,20,19,18,20,17,22,26,19,29,14,13,11,20,"""QUEENS"""
8,6,7,7,4,1,6,1,2,4,2,6,5,4,3,"""STATEN ISLAND"""
9,49,36,34,25,39,50,31,27,24,30,19,25,20,19,"""BRONX"""
9,61,65,61,55,71,74,52,54,46,40,50,33,34,25,"""BROOKLYN"""
9,24,12,22,11,14,17,13,11,8,17,17,9,6,11,"""MANHATTAN"""
9,17,15,28,25,14,23,24,14,14,7,18,10,10,9,"""QUEENS"""
9,1,4,6,NA,5,4,5,1,4,4,4,2,1,3,"""STATEN ISLAND"""
10,38,42,24,29,31,44,34,27,23,22,27,15,31,17,"""BRONX"""
10,57,66,47,43,50,65,34,51,46,30,25,30,23,21,"""BROOKLYN"""
10,25,16,17,13,14,19,8,9,4,12,17,7,6,11,"""MANHATTAN"""
10,28,21,23,23,14,23,10,11,14,13,14,18,5,12,"""QUEENS"""
10,2,3,6,1,NA,4,4,3,6,4,1,3,3,1,"""STATEN ISLAND"""
11,28,25,31,37,32,35,25,32,26,24,12,10,15,20,"""BRONX"""
11,55,44,40,44,46,48,36,25,41,36,29,13,26,17,"""BROOKLYN"""
11,17,12,13,13,12,14,6,13,13,8,13,9,8,6,"""MANHATTAN"""
11,18,15,14,20,17,10,16,6,8,10,9,14,6,5,"""QUEENS"""
11,3,3,3,8,1,4,4,6,1,2,2,2,NA,2,"""STATEN ISLAND"""
12,35,24,33,29,32,31,21,17,35,27,13,13,20,12,"""BRONX"""
12,66,42,57,34,37,44,30,35,43,33,30,26,21,25,"""BROOKLYN"""
12,13,12,11,14,19,18,14,10,7,13,9,14,7,6,"""MANHATTAN"""
12,17,11,21,17,18,22,18,10,13,19,9,9,7,8,"""QUEENS"""
12,1,6,4,3,2,4,2,7,3,3,3,5,3,5,"""STATEN ISLAND"""
