"","month","BORO","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","01","BROOKLYN",42,46,40,36,35,35,34,37,38,37,21,21,13,19
"2","02","BROOKLYN",31,35,27,26,27,34,34,26,19,23,30,14,13,13
"3","03","BROOKLYN",35,34,43,47,39,36,44,31,40,21,21,20,22,26
"4","04","BROOKLYN",41,41,48,47,57,62,39,40,33,39,19,21,26,19
"5","05","BROOKLYN",60,78,63,61,49,65,57,30,54,60,32,25,33,24
"6","06","BROOKLYN",72,66,50,60,74,37,61,53,50,38,44,35,29,40
"7","07","BROOKLYN",75,79,84,85,82,74,59,40,56,56,46,25,43,29
"8","08","BROOKLYN",78,62,65,74,72,78,63,59,54,60,68,31,28,32
"9","09","BROOKLYN",61,65,61,55,71,74,52,54,46,40,50,33,34,25
"10","10","BROOKLYN",57,66,47,43,50,65,34,51,46,30,25,30,23,21
"11","11","BROOKLYN",55,44,40,44,46,48,36,25,41,36,29,13,26,17
"12","12","BROOKLYN",66,42,57,34,37,44,30,35,43,33,30,26,21,25
