month,BORO,num_shootings
1,BRONX,318
1,BROOKLYN,454
1,MANHATTAN,144
1,QUEENS,171
1,STATEN ISLAND,41
2,BRONX,221
2,BROOKLYN,352
2,MANHATTAN,104
2,QUEENS,156
2,STATEN ISLAND,25
3,BRONX,280
3,BROOKLYN,459
3,MANHATTAN,113
3,QUEENS,180
3,STATEN ISLAND,27
4,BRONX,362
4,BROOKLYN,532
4,MANHATTAN,154
4,QUEENS,188
4,STATEN ISLAND,38
5,BRONX,420
5,BROOKLYN,691
5,MANHATTAN,190
5,QUEENS,229
5,STATEN ISLAND,51
6,BRONX,503
6,BROOKLYN,709
6,MANHATTAN,207
6,QUEENS,259
6,STATEN ISLAND,37
7,BRONX,535
7,BROOKLYN,833
7,MANHATTAN,223
7,QUEENS,273
7,STATEN ISLAND,59
8,BRONX,547
8,BROOKLYN,824
8,MANHATTAN,234
8,QUEENS,277
8,STATEN ISLAND,58
9,BRONX,428
9,BROOKLYN,721
9,MANHATTAN,192
9,QUEENS,228
9,STATEN ISLAND,44
10,BRONX,404
10,BROOKLYN,588
10,MANHATTAN,178
10,QUEENS,229
10,STATEN ISLAND,41
11,BRONX,352
11,BROOKLYN,500
11,MANHATTAN,157
11,QUEENS,168
11,STATEN ISLAND,41
12,BRONX,342
12,BROOKLYN,523
12,MANHATTAN,167
12,QUEENS,199
12,STATEN ISLAND,51
