month,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,112,90,99,79,86,83,91,93,77,90,59,58,59,52
2,81,62,64,75,83,77,83,50,45,59,61,40,36,42
3,79,72,100,86,106,77,104,67,82,69,67,48,46,56
4,113,99,121,115,120,109,98,79,87,87,67,68,49,62
5,134,162,151,129,121,131,140,78,112,132,86,67,77,61
6,146,158,151,149,158,126,147,119,121,108,94,79,70,89
7,169,164,171,173,168,174,188,112,134,117,97,79,89,88
8,177,161,167,170,163,179,135,136,135,122,145,83,76,91
9,152,132,151,116,143,168,125,107,96,98,108,79,71,67
10,150,148,117,109,109,155,90,101,93,81,84,73,68,62
11,121,99,101,122,108,111,87,82,89,80,65,48,55,50
12,132,95,126,97,108,119,85,79,101,95,64,67,58,56
